ledger,date,entropy,hhi,max_power_ratio,total_entities,theil_index
bitcoin,2011-01-03,2.861350053218591,1645.410155266646,0.230077591330816,61,2.127537142189796
bitcoin,2011-11-15,2.413023252261409,2625.868713586566,0.3472912389491767,58,2.3878627466158373
bitcoin,2012-06-02,2.3485921157975675,2639.320850017432,0.3847324807545723,31,1.8060672011347456
bitcoin,2012-12-24,2.311715011764503,2625.518108457391,0.3368859957669977,53,2.367933170889457
bitcoin,2013-09-12,2.545127780862171,2592.4362303872185,0.4446361811852765,61,2.3467257187039063
bitcoin,2014-03-17,0.6221983824636039,8672.86125333784,0.930945196378975,95,4.122601837046932
bitcoin,2014-08-06,1.6225450972791748,5632.171948015436,0.7429318292904994,68,3.0948451456656865
bitcoin,2014-11-27,2.3506785312656806,3351.0185891490146,0.5042396799685859,69,2.604740308247657
bitcoin,2015-05-16,2.150730143010528,3997.1781901256873,0.5987289485537258,80,2.891254099900846
bitcoin,2015-10-31,2.436331908307116,3215.577441752241,0.5022786031921128,68,2.530771112024801
bitcoin,2016-03-28,2.3154383967014014,3392.251415913181,0.526498196739639,80,2.7770870382400665
bitcoin,2016-08-13,1.697242217166095,4360.109117604337,0.5637246999326436,79,3.193009194911033
bitcoin,2016-12-10,2.4196226843657627,3260.067748590812,0.518834310657656,58,2.383288368859406
bitcoin,2017-03-16,2.202414969370277,3091.882070660971,0.4633494732885233,68,2.6929099787340776
bitcoin,2017-06-26,2.755911755317841,2842.6882983425794,0.4922426103481967,68,2.309255242105535
bitcoin,2017-10-16,3.3606997542068453,1585.9974094053807,0.3060254910708903,73,1.960999881811414
bitcoin,2018-02-21,2.490126885270571,2738.409680823506,0.4148461258716195,90,2.773785240568455
bitcoin,2018-05-30,3.552575972683937,1677.6269277575043,0.354493925067358,79,1.9069898332761457
bitcoin,2018-09-12,2.6074374773045323,3309.6536216596724,0.5382964674810168,87,2.6585701827746124
bitcoin,2019-01-06,2.897434972650445,2632.705384312645,0.427849657270246,76,2.3223844581378943
bitcoin,2019-04-28,3.841781786559671,1292.2766944115183,0.2803717958027739,80,1.7191064209934972
bitcoin,2019-08-22,1.4930800681114302,6476.183032856381,0.8017355345107687,76,3.2958091007246417
bitcoin,2019-11-12,3.325669069620422,1907.6722850225544,0.3114490278507619,71,1.957501737958504
bitcoin,2020-02-22,1.2231810119437203,7105.783075214397,0.8404279957385705,67,3.356848149647717
bitcoin,2020-05-04,3.598731395611916,1629.1832930539747,0.3580872631115028,59,1.583086923444764
bitcoin,2020-07-06,3.810514886140103,1049.2906352933992,0.1925931733835136,70,1.6072475922396476
bitcoin,2020-09-24,2.876981811366744,2149.5164897257005,0.3505247617106181,66,2.1954829109553207
bitcoin,2020-12-14,3.012026158264601,2142.6507204256413,0.3595946021613752,70,2.1607178026754457
bitcoin,2021-03-02,3.441213832459734,1663.176393332915,0.3381516801540266,59,1.6922697782323717
bitcoin,2021-05-08,3.281726031935033,1659.3351893637878,0.3009318197892354,59,1.8028182974997728
bitcoin,2021-07-18,3.845654102373893,1099.6413544227903,0.2022816252914351,70,1.5828909435801095
bitcoin,2021-10-04,3.118630133046126,2345.134789003609,0.4355401081319651,69,2.0724368206670487
bitcoin,2021-12-23,2.7624715097835058,2305.37977393876,0.3536940181199806,72,2.3618667806324414
bitcoin,2022-03-10,1.483195785964276,4652.11248252504,0.582635728847438,68,3.1914347279165765
bitcoin,2022-05-21,3.6094365944918367,1456.3857344447606,0.2501730648206419,70,1.746624443167454
bitcoin,2022-08-15,3.8123995313362617,1167.8548787094287,0.1998804145628488,61,1.4683198778595243
bitcoin,2022-12-02,3.4800310491041837,1556.3316359639275,0.3002005549603011,65,1.7622135599480042
bitcoin,2023-03-23,2.6520427901899284,2508.4847403096337,0.398679716527372,54,2.1507280638197943
bitcoin,2023-07-08,3.2815054029584583,1617.425226719223,0.2535101503711369,54,1.7144178285113914
bitcoin,2023-10-14,1.668378617408009,4185.966913089664,0.4677045292820967,55,2.8509012504696107
bitcoin,2024-01-27,2.293914843296918,3332.6750450839,0.5180796986143485,63,2.5531141203156658
bitcoin,2024-05-04,2.813250407725243,2640.111682195849,0.4636861160225646,62,2.177137796721225
bitcoin,2024-08-01,2.565444299322819,2698.8795909814708,0.4269796692350159,54,2.210753563605078
bitcoin,2024-10-29,3.4543430441121736,1631.8360286666546,0.3372348609737334,58,1.6660748688332063
bitcoin,2025-02-17,3.346079933419745,1524.6893730047243,0.2542892372732077,70,1.9291693702712536
bitcoin,2025-05-21,3.152036607119472,1900.0145767318213,0.3460593230649439,71,2.0778545897947174
bitcoin,2025-08-27,2.204837662608261,3394.85719567359,0.4482598418173168,72,2.74838910958676
bitcoin,2025-12-18,3.4607961119809545,2019.1226401102335,0.4191662045672228,72,1.877825051503636
bitcoin,2026-03-09,2.879272183267816,2258.394968015726,0.3587898174063708,67,2.2089332234942014
