ledger,snapshot_date,no_clustering,entropy,entropy_percentage,gini,hhi,nakamoto_coefficient,theil_index,max_power_ratio,tau_index
bitcoin,Jan-2018,True,4.101778119974246,0.43141214920987403,0.9808972185084944,993.0546383451664,4,3.7471651090540665,0.22037586547972304,6
bitcoin,Feb-2018,True,3.519628909840496,0.3701835223659119,0.9880127597282553,1312.035769186984,3,4.150680192723475,0.2597848477912566,5
bitcoin,Mar-2018,True,3.5644917142443844,0.37490205133100013,0.9878008404055665,1236.5830949938897,3,4.119583666338907,0.24382384532760473,5
bitcoin,Apr-2018,True,3.530340644880602,0.3713101490386018,0.9879162594455436,1319.3472645056258,3,4.143255383781516,0.2737527114967462,5
bitcoin,May-2018,True,3.582761308536946,0.37682358991948817,0.9875086488665035,1254.6552060982772,3,4.106920148565039,0.25355098579605684,5
bitcoin,Jun-2018,True,3.5733851506403393,0.3758374350590367,0.9868938127090301,1318.4801512287322,3,4.113419205975557,0.26717391304347826,5
bitcoin,Jul-2018,True,3.862343169838921,0.40622913262230487,0.9840539894887721,1070.3461556921388,4,3.9131287696678534,0.21050365906155832,5
bitcoin,Aug-2018,True,3.9988062834091798,0.42058189461753104,0.9817910852420534,961.6556277352689,4,3.8185397472462137,0.1765563189673121,6
bitcoin,Sep-2018,True,3.9071699488955445,0.41094387255443354,0.9838263965046042,977.0032212420202,4,3.8820572141511938,0.17040054310930075,6
bitcoin,Oct-2018,True,3.908667608560676,0.4111013916976005,0.9843367696473428,943.2305287734578,4,3.8810191155768687,0.16647636446677325,6
bitcoin,Nov-2018,True,3.995247285765027,0.42020757041524914,0.983376636283613,920.4962308621947,4,3.821006656428883,0.17700258397932817,6
bitcoin,Dec-2018,True,3.9913768463948873,0.41980048974968914,0.9836976452119309,890.2964244897963,4,3.8236894405658224,0.17417142857142856,6
bitcoin,Jan-2019,True,3.985958512681815,0.4192306064152128,0.9837043895331188,831.9184396080702,5,3.8274451433023704,0.14740331491712708,7
bitcoin,Feb-2019,True,3.872522931903456,0.4072998080470238,0.985027972027972,923.8432323232323,4,3.9060726962940704,0.1730909090909091,6
bitcoin,Mar-2019,True,3.974075529749261,0.417980791565162,0.9839789880449221,857.7186330153368,5,3.8356817994187167,0.1610989010989011,7
bitcoin,Apr-2019,True,4.093787054370882,0.4305716740097074,0.9824918051059129,843.9257137913611,4,3.7527040936467073,0.16436145689257722,7
bitcoin,May-2019,True,4.032091775114829,0.42408275816846625,0.9830477455186203,908.5002894627614,4,3.7954680025168983,0.18682482524888794,6
bitcoin,Jun-2019,True,3.794034446383598,0.3990446354765088,0.985564916384788,1016.2589065439861,4,3.96047676873858,0.1965036512502766,6
bitcoin,Jul-2019,True,3.7674642909122893,0.3962500699145886,0.9859141382726289,1026.586501061403,4,3.978893797090559,0.19958071278825995,6
bitcoin,Aug-2019,True,4.007555852640074,0.42150214684867426,0.9829318991530284,970.4222863084776,4,3.812475008002712,0.19867408041060736,6
bitcoin,Sep-2019,True,4.016626773641944,0.4224561978505247,0.9834438754341667,878.7214210156999,4,3.806187524685184,0.16396979503775622,7
bitcoin,Oct-2019,True,3.9863582165577744,0.41927264601441383,0.9837575664830307,875.0735833878614,5,3.8271680896876936,0.16467727674624227,7
bitcoin,Nov-2019,True,4.09108923112681,0.4302879254280263,0.9826028893386406,813.217238734458,5,3.754574082221981,0.15732454074422986,7
bitcoin,Dec-2019,True,3.943567684133633,0.4147720721123205,0.9840921353250269,865.4666980120318,4,3.856828226592144,0.161633717140995,7
bitcoin,Jan-2020,True,3.910524505987,0.41129669434102034,0.9845015392038825,883.6000121038351,4,3.8797320123612224,0.1792273590880304,7
bitcoin,Feb-2020,True,3.9174650731648324,0.41202668141378357,0.9844813948689731,889.1546430180005,4,3.8749211777904238,0.18319691863264323,7
bitcoin,Mar-2020,True,3.8998978196759655,0.41017901282672836,0.9847467749641663,908.8951824148265,4,3.887097870016413,0.18331374853113983,7
bitcoin,Apr-2020,True,3.726199578366232,0.3919099769584796,0.986496580087318,1016.1662624785997,4,4.007496316248477,0.19277642366496786,6
bitcoin,May-2020,True,3.860218702069368,0.40600568776995494,0.9850729542404161,947.0203604830734,4,3.9146013385125222,0.18726145038167938,7
bitcoin,Jun-2020,True,3.9326635757541575,0.41362521221556026,0.984367715160197,894.9679175501408,4,3.8643863785718984,0.18553528247966586,7
bitcoin,Jul-2020,True,3.988527449459901,0.4195007991229123,0.9835778462113176,795.264391751125,5,3.825664492017608,0.1529745042492918,8
bitcoin,Aug-2020,True,3.915999484066108,0.4118725353521377,0.984293990680852,816.1392476438077,5,3.8759370467420635,0.1528422915284229,7
bitcoin,Sep-2020,True,3.8399104792169396,0.40386973262778497,0.985279369714373,896.4064763688541,4,3.9286779259248763,0.15625689693224454,7
bitcoin,Oct-2020,True,3.9035440528477356,0.410562512188016,0.9846062946812768,844.0135738076216,5,3.884570493773736,0.14686979290645086,7
bitcoin,Nov-2020,True,3.9964883706886796,0.4203381038323683,0.9835786135047219,877.9444994062718,5,3.8201464019132176,0.19659650694133451,7
bitcoin,Dec-2020,True,4.022334751216754,0.42305654501733003,0.9832712148285919,877.2520641242354,5,3.8022310561225034,0.1871953921134249,7
bitcoin,Jan-2021,True,3.9768989394839562,0.41827774893977315,0.9837171189112937,819.8596812163912,5,3.8337247609215455,0.1669902912621359,7
bitcoin,Feb-2021,True,4.075170365072475,0.4286136290578638,0.9826983678086619,800.8242022299117,5,3.7656081993452566,0.16299019607843138,7
