ledger,snapshot_date,no_clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2011-01-01,True,False,percentage,0,False,True,17.442326443804827,13.228869961424953,0.5425193912262386,65621,126,4587,20653,0.0179265013444876,1.921942414582001
bitcoin,2011-02-01,True,False,percentage,0,False,True,42.35912004160246,12.895403609465754,0.5789313751999687,69029,99,2494,19386,0.04736149131863864,2.2037215074916534
bitcoin,2011-03-01,True,False,percentage,0,False,True,39.00632863812123,12.880532023098123,0.6392869851346269,78812,105,1164,18269,0.044989517442435914,2.346573957583049
bitcoin,2011-04-01,True,False,percentage,0,False,True,30.81005379062406,13.023069747966217,0.6881238937748734,90303,146,957,17491,0.04308896319340911,2.383883932493748
bitcoin,2011-05-01,True,False,percentage,0,False,True,27.88551867864025,13.004599993727306,0.7215515867024284,99088,144,887,16328,0.033023190535553595,2.4894971168468834
bitcoin,2011-06-01,True,False,percentage,0,False,True,37.95603135740301,12.890129916429348,0.7997195226987777,132153,131,806,14199,0.04645488252773205,2.8567946439846503
bitcoin,2011-07-01,True,False,percentage,0,False,True,53.624847620243386,12.89017276675217,0.8648428243293991,196975,139,805,12990,0.06326216800749203,3.255874934721128
bitcoin,2011-08-01,True,False,percentage,0,False,True,43.14363145000056,13.038484371385263,0.9278125959530845,380056,156,902,12815,0.05532199211652241,3.8102359432235375
bitcoin,2011-09-01,True,False,percentage,0,False,True,16.19371387980386,13.167764764422234,0.9437934698185454,487833,152,837,12050,0.014628790403152948,3.9702793542263697
bitcoin,2011-10-01,True,False,percentage,0,False,True,18.804593402045622,13.096546777989204,0.9487424030119697,533670,136,807,11331,0.014230920421006106,4.109123388734112
bitcoin,2011-11-01,True,False,percentage,0,False,True,18.333049339083185,13.13530949250259,0.9494341060564268,546269,143,841,11006,0.013878333296604232,4.105638207960139
