ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
dogecoin,2024-01-01,True,False,absolute,100,False,False,1627.8864747488756,4.212479636054884,0.7533452136311304,100,1,3,6,0.3645904543994172,1.6853018030904638
dogecoin,2024-02-01,True,False,absolute,100,False,False,1596.7015009557936,4.224641681001977,0.7590752366674481,100,1,3,6,0.3627883919530885,1.6768717159255424
dogecoin,2024-03-01,True,False,absolute,100,False,False,1525.9796322477723,4.259290909873937,0.7586092170652222,100,1,3,6,0.3495135385144284,1.6528547006243683
dogecoin,2024-04-01,True,False,absolute,100,False,False,1443.1568392726913,4.340370392065784,0.747933774052622,100,1,3,7,0.3363563098431627,1.596654686141828
dogecoin,2024-05-01,True,False,absolute,100,False,False,1521.9002906804078,4.276239878251901,0.7534152164830775,100,1,3,6,0.3491460198204263,1.6411065709797834
dogecoin,2024-06-01,True,False,absolute,100,False,False,1493.4778783517834,4.309203096747152,0.7482866441801077,100,1,3,6,0.3440198510980515,1.6182582090176194
dogecoin,2024-07-01,True,False,absolute,100,False,False,1518.794039188724,4.28108395383216,0.7527830040828624,100,1,3,6,0.3476509907067583,1.637748913648903
dogecoin,2024-08-01,True,False,absolute,100,False,False,1508.059726773636,4.275101804994056,0.75558858705513,100,1,3,6,0.343935264291048,1.6418954232497278
ethereum,2016-01-01,True,False,absolute,100,False,False,463.1415084817669,5.673037623908265,0.5138686009185215,100,4,14,28,0.15593706044152,0.6729201517655881
ethereum,2016-02-01,True,False,absolute,100,False,False,588.9585801938888,5.59769353698453,0.5131834400658313,100,4,14,28,0.2139906836512703,0.7251446931886381
ethereum,2016-03-01,True,False,absolute,100,False,False,879.8518715192748,5.351378023652932,0.5399527900718979,100,3,12,26,0.2805556494943909,0.8958775967826142
ethereum,2016-04-01,True,False,absolute,100,False,False,1091.0603095151532,5.200969608439094,0.5491417564618166,100,2,12,26,0.3188177863717316,1.000132765720568
ethereum,2016-05-01,True,False,absolute,100,False,False,1085.395262115906,5.189178159928779,0.5581782927430893,100,2,11,25,0.3174840715374509,1.0083059750102163
ethereum,2016-06-01,True,False,absolute,100,False,False,1187.533840443848,4.801149658696937,0.6325054441482051,100,2,4,17,0.2813574932059432,1.2772668366159596
ethereum,2016-07-01,True,False,absolute,100,False,False,742.2337402976455,5.179054363533322,0.6077409173652981,100,2,6,20,0.1793268911742176,1.015323255938287
ethereum,2016-08-01,True,False,absolute,100,False,False,956.270708748206,4.905643825451884,0.6539576501355526,100,2,4,16,0.2181915878225768,1.204836999544817
ethereum,2016-09-01,True,False,absolute,100,False,False,742.2004256508346,5.248582305617531,0.5991126362475397,100,2,8,21,0.1971654490153285,0.9671301589124828
ethereum,2016-10-01,True,False,absolute,100,False,False,723.2354756674978,5.298987465154102,0.581045973061529,100,2,9,22,0.1908383467169199,0.9321919646940332
ethereum,2016-11-01,True,False,absolute,100,False,False,672.477427570683,5.382325140820357,0.5618944725100339,100,2,10,24,0.1845291880485741,0.8744266897715504
ethereum,2016-12-01,True,False,absolute,100,False,False,671.3956653681613,5.353915767062646,0.5747910871477949,100,2,9,23,0.1798793918599498,0.8941185670931788
ethereum,2017-01-01,True,False,absolute,100,False,False,676.3900136269423,5.325993157070658,0.5788449415455572,100,2,9,22,0.1849086122309704,0.9134730454830032
ethereum,2017-02-01,True,False,absolute,100,False,False,596.6704588553017,5.421076360705078,0.572570674620837,100,3,10,23,0.1697762108802918,0.8475663909651981
ethereum,2017-03-01,True,False,absolute,100,False,False,560.9730703362216,5.442107089175335,0.5737298196584169,100,3,9,23,0.1509768701623227,0.8329890008209216
ethereum,2017-04-01,True,False,absolute,100,False,False,507.9132284244768,5.447750171595948,0.5919341124092976,100,3,8,21,0.1361706450803645,0.8290775141514026
ethereum,2017-05-01,True,False,absolute,100,False,False,463.19257609318703,5.536572302733455,0.5761769467992126,100,4,9,23,0.1332396538171922,0.767510704382117
ethereum,2017-06-01,True,False,absolute,100,False,False,386.75998076982125,5.746586036255403,0.5229475659521721,100,5,13,28,0.1257225491590358,0.6219402771125084
ethereum,2017-07-01,True,False,absolute,100,False,False,347.68244301669404,5.818746650730185,0.5109739786077334,100,6,14,29,0.1141383479176758,0.57192235064184
ethereum,2017-08-01,True,False,absolute,100,False,False,328.2879922301191,5.827445367822734,0.5183880490631497,100,6,14,28,0.1081540813050173,0.5658928594146531
ethereum,2017-09-01,True,False,absolute,100,False,False,308.071534306801,5.866773857412965,0.512896407589039,100,6,15,29,0.1071556024805943,0.5386324277394978
ethereum,2017-10-01,True,False,absolute,100,False,False,299.49841962711196,5.8800686180614825,0.5141358941329631,100,6,16,29,0.1067645122257543,0.5294172018797595
ethereum,2017-11-01,True,False,absolute,100,False,False,281.25634217378985,5.923996791124704,0.5017323532589978,100,7,16,29,0.0989567216195266,0.4989685125738432
ethereum,2017-12-01,True,False,absolute,100,False,False,265.62496968333437,5.94919925655891,0.4987615628606853,100,7,16,29,0.0893820667784314,0.4814994947149619
ethereum,2018-01-01,True,False,absolute,100,False,False,248.7139996138166,5.9767369942881166,0.4950049689967566,100,7,16,29,0.0782252349933699,0.4624117894489652
ethereum,2018-02-01,True,False,absolute,100,False,False,232.84519869379017,6.013074360403499,0.4876135675858689,100,8,17,30,0.07064556747975,0.4372246465771048
ethereum,2018-03-01,True,False,absolute,100,False,False,226.2887906764492,6.042594732936285,0.4766153267706481,100,8,18,31,0.0732066806042579,0.4167626835869298
ethereum,2018-04-01,True,False,absolute,100,False,False,223.84326466265733,6.066628826072751,0.4641803463072173,100,8,18,32,0.0724354910340853,0.4001035196920754
ethereum,2018-05-01,True,False,absolute,100,False,False,218.57111471780203,6.084617428538542,0.4586443382151326,100,9,19,33,0.072172060435629,0.3876347706106993
ethereum,2018-06-01,True,False,absolute,100,False,False,217.0362381678642,6.074228168665595,0.4668974278479713,100,9,19,31,0.0691083540055253,0.3948360567997346
ethereum,2018-07-01,True,False,absolute,100,False,False,225.78985072125857,6.055301424176007,0.4693450869968228,100,8,18,31,0.0688851971083946,0.4079550763798729
ethereum,2018-08-01,True,False,absolute,100,False,False,227.23947705322493,6.051142729851695,0.4706129875333982,100,8,18,31,0.0679047191371545,0.4108376636255745
ethereum,2018-09-01,True,False,absolute,100,False,False,237.76309682668116,6.011165899046716,0.4847980052163476,100,8,17,30,0.0703645184723338,0.4385474911857696
ethereum,2018-10-01,True,False,absolute,100,False,False,250.54217998984308,5.975633791249115,0.4946612167761569,100,8,16,29,0.0799864777557445,0.4631764715250289
ethereum,2018-11-01,True,False,absolute,100,False,False,241.2089240839928,5.99847805718701,0.4885266291693326,100,8,16,29,0.072720675551005,0.4473420329982157
ethereum,2018-12-01,True,False,absolute,100,False,False,273.0111108093184,5.9080028155814235,0.4996087496318868,100,7,13,27,0.081433357709698,0.5100546916276163
ethereum,2019-01-01,True,False,absolute,100,False,False,319.5589492683106,5.849947287375986,0.4920586842705769,100,6,13,28,0.1066971688830548,0.5502957173191214
ethereum,2019-02-01,True,False,absolute,100,False,False,314.38036904813265,5.844854878113285,0.4946689373174075,100,6,13,27,0.0992449035238638,0.5538255064418329
ethereum,2019-03-01,True,False,absolute,100,False,False,363.66743306033055,5.742730121235467,0.5090769485532085,100,5,11,26,0.1165888572883908,0.6246129937370611
ethereum,2019-04-01,True,False,absolute,100,False,False,367.0559342398912,5.725255488713337,0.5142165759497873,100,5,11,26,0.1148180128325147,0.6367254860011001
ethereum,2019-05-01,True,False,absolute,100,False,False,341.3740059982336,5.763398077358387,0.5072433430780011,100,5,11,26,0.0922309099582719,0.6102870582225183
ethereum,2019-06-01,True,False,absolute,100,False,False,337.0183113913619,5.785954025380651,0.5051640620721972,100,5,12,26,0.1017992753454995,0.5946524664460332
ethereum,2019-07-01,True,False,absolute,100,False,False,338.64400918832797,5.787519086355216,0.5066797306528026,100,5,12,27,0.0997069800226422,0.5935676488441026
ethereum,2019-08-01,True,False,absolute,100,False,False,344.0154835344404,5.774403496658507,0.5089466968963382,100,5,12,26,0.1000848339860307,0.6026586828637511
ethereum,2019-09-01,True,False,absolute,100,False,False,349.8353427853595,5.745909334761667,0.5208037043265399,100,5,11,25,0.0986679247775151,0.6224093308449675
ethereum,2019-10-01,True,False,absolute,100,False,False,354.17904142425107,5.74440473907511,0.5198006941335345,100,5,11,25,0.1028737488815065,0.6234522371029999
ethereum,2019-11-01,True,False,absolute,100,False,False,352.7321119260353,5.753839776337635,0.5187445738457868,100,5,12,26,0.1027869612846875,0.6169123676259916
ethereum,2019-12-01,True,False,absolute,100,False,False,372.73241199387246,5.695561940797718,0.5319372987159493,100,5,11,24,0.1023911861908851,0.6573074850196255
ethereum,2020-01-01,True,False,absolute,100,False,False,378.923314496806,5.675411773224584,0.5380896537126003,100,5,10,23,0.1043393792204241,0.6712745168607606
ethereum,2020-02-01,True,False,absolute,100,False,False,389.17798923836335,5.648751165035152,0.543005244841554,100,4,10,23,0.1057866977376099,0.6897542422592577
ethereum,2020-03-01,True,False,absolute,100,False,False,400.58486154226546,5.640857507521045,0.5415517265087724,100,4,10,23,0.1076197146775767,0.6952257087094692
ethereum,2020-04-01,True,False,absolute,100,False,False,441.8601170701699,5.5610688625553095,0.5563769616195158,100,4,9,21,0.1200861050710927,0.7505309830081862
ethereum,2020-05-01,True,False,absolute,100,False,False,446.33827979111703,5.558040306298195,0.5531994683152566,100,4,9,21,0.1323499326050424,0.7526302182389515
ethereum,2020-06-01,True,False,absolute,100,False,False,451.20889564803474,5.55955586286069,0.551788023175542,100,4,9,22,0.1397853357267358,0.7515797144806972
ethereum,2020-07-01,True,False,absolute,100,False,False,476.37134773625024,5.534815651270949,0.54372408045753,100,4,8,23,0.1464890571719339,0.7687283223905839
ethereum,2020-08-01,True,False,absolute,100,False,False,509.8020970880815,5.429901247257831,0.5644994567612381,100,4,7,20,0.1454354846009948,0.841449445732385
ethereum,2020-09-01,True,False,absolute,100,False,False,537.8686441658148,5.370932777571495,0.5737282193870814,100,3,6,19,0.139008657294077,0.8823232742374149
ethereum,2020-10-01,True,False,absolute,100,False,False,621.9920217844106,5.2772818061027005,0.5838738098062288,100,3,6,18,0.1654067317666031,0.947237181067703
ethereum,2020-11-01,True,False,absolute,100,False,False,637.4140513166302,5.255151730019975,0.5856350238212578,100,3,6,18,0.1693273953798635,0.9625765809100216
ethereum,2020-12-01,True,False,absolute,100,False,False,513.9221402213631,5.439331870140611,0.5633962933429546,100,3,7,20,0.1389440784344574,0.8349126360702606
ethereum,2021-01-01,True,False,absolute,100,False,False,503.8943632574637,5.428193110556764,0.5701237240074164,100,4,7,19,0.1294726764026438,0.842633435870747
ethereum,2021-02-01,True,False,absolute,100,False,False,473.449692583828,5.447016924964239,0.5678192484651021,100,4,7,19,0.1263536795911723,0.829585761986823
ethereum,2021-03-01,True,False,absolute,100,False,False,503.1297042193664,5.399104646175351,0.5749123684140679,100,4,7,18,0.1407696220207744,0.8627960229435385
ethereum,2021-04-01,True,False,absolute,100,False,False,519.3599812364093,5.34396141498694,0.5954907845499827,100,4,7,16,0.1472254438163099,0.901018398168758
ethereum,2021-05-01,True,False,absolute,100,False,False,508.0420414217067,5.3676967004174,0.5953228373354083,100,4,7,15,0.1469487371928545,0.884566351992854
ethereum,2021-06-01,True,False,absolute,100,False,False,488.167287771152,5.388775886735167,0.5969486290567165,100,4,7,16,0.1241400918549646,0.8699553734282023
ethereum,2021-07-01,True,False,absolute,100,False,False,518.2678422484911,5.335132480943519,0.6070393050049712,100,4,7,15,0.1269142644425952,0.9071381489083008
ethereum,2021-08-01,True,False,absolute,100,False,False,537.9366300348978,5.342940115149205,0.6043317649773334,100,3,7,16,0.1389522418915925,0.9017263092717814
ethereum,2021-09-01,True,False,absolute,100,False,False,574.5418063215985,5.2865084678339365,0.6109795625229635,100,3,7,15,0.1449860022621581,0.940841746502716
ethereum,2021-10-01,True,False,absolute,100,False,False,622.2767618083492,5.221616516532989,0.6139210612174245,100,3,6,15,0.1566050077090742,0.9858214195880092
ethereum,2021-11-01,True,False,absolute,100,False,False,618.667296446775,5.2413475386839625,0.6147986081325901,100,3,6,15,0.1604652353637172,0.9721449172144838
ethereum,2021-12-01,True,False,absolute,100,False,False,634.314975067439,5.235284424406243,0.6129406056906117,100,3,6,16,0.1664003688739657,0.9763475477815108
ethereum,2022-01-01,True,False,absolute,100,False,False,647.4265083866671,5.201189830896326,0.6230635699158216,100,3,6,15,0.1710551719009133,0.9999801191452474
ethereum,2022-02-01,True,False,absolute,100,False,False,689.2955121839348,5.1521069779742,0.6259275894028915,100,2,6,15,0.1786472663425895,1.0340017602620464
