ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
dogecoin,2018-04-01,True,False,absolute,100,False,False,401.704062030742,5.533579988552367,0.6148051142193592,100,4,10,19,0.1175034867132383,0.7695848185200853
dogecoin,2018-05-01,True,False,absolute,100,False,False,312.5249304818041,5.713733740297597,0.5833235952504657,100,6,12,21,0.0884603363315783,0.644711753430582
dogecoin,2018-06-01,True,False,absolute,100,False,False,308.82223939016654,5.725552857251343,0.5787806161231245,100,6,12,21,0.0893540167909735,0.6365193658373827
dogecoin,2018-07-01,True,False,absolute,100,False,False,311.20939884649806,5.723912939266836,0.5769493659309948,100,6,12,21,0.0908032964591139,0.6376560703646966
dogecoin,2018-08-01,True,False,absolute,100,False,False,311.9541837952323,5.711301584065341,0.582297074876225,100,6,12,21,0.0882909910051435,0.646397595665652
dogecoin,2018-09-01,True,False,absolute,100,False,False,301.91155965748186,5.733516831581214,0.5812220253153331,100,7,12,22,0.0833381961159244,0.6309991594845828
dogecoin,2018-10-01,True,False,absolute,100,False,False,424.54606082270334,5.318300651839725,0.6803051853597856,100,5,8,15,0.1089308944016338,0.918805083795267
dogecoin,2018-11-01,True,False,absolute,100,False,False,446.33745955516525,5.249631881648186,0.6917495511288462,100,5,8,13,0.1073835867675862,0.9664026482460504
dogecoin,2018-12-01,True,False,absolute,100,False,False,539.2260271566778,5.217977004675469,0.6797633494628492,100,4,7,14,0.1552630544156135,0.9883441369706624
dogecoin,2019-01-01,True,False,absolute,100,False,False,519.4152289920381,5.256894080145728,0.6724688556064714,100,4,8,15,0.1400689734712103,0.961368875832812
dogecoin,2019-02-01,True,False,absolute,100,False,False,536.4307187545079,5.161297007451825,0.6962885868761672,100,4,7,13,0.1307422858365158,1.0276317172403768
dogecoin,2019-03-01,True,False,absolute,100,False,False,519.7382807376214,5.1891583751524974,0.6908326584194895,100,4,7,13,0.128842962536737,1.0083196887721109
dogecoin,2019-04-01,True,False,absolute,100,False,False,510.7321317934084,5.222573610547855,0.6791284155897386,100,4,7,13,0.1330211350688671,0.9851580125700712
dogecoin,2019-05-01,True,False,absolute,100,False,False,493.9556086437878,5.230112340718569,0.6811992522101952,100,4,7,13,0.1272017376228429,0.979932563007238
dogecoin,2019-06-01,True,False,absolute,100,False,False,467.7127537126574,5.324499185885116,0.660670800566979,100,4,8,15,0.1317392984152667,0.9145085873980988
dogecoin,2019-07-01,True,False,absolute,100,False,False,452.7134075922007,5.391931343466776,0.6483747766788535,100,4,9,16,0.1378237319134027,0.8677681774912951
dogecoin,2019-08-01,True,False,absolute,100,False,False,411.3684595502341,5.4907199507658975,0.6297659811265689,100,5,10,18,0.1271148565255196,0.7992931328704702
dogecoin,2019-09-01,True,False,absolute,100,False,False,473.0347995338086,5.390940395882883,0.6452300940641055,100,4,9,17,0.1517475604712714,0.8684550500151539
dogecoin,2019-10-01,True,False,absolute,100,False,False,475.4866791453576,5.381292092989756,0.6491782451996427,100,4,9,17,0.1528535778457489,0.8751427439627159
dogecoin,2019-11-01,True,False,absolute,100,False,False,479.41009331366155,5.324982577783271,0.6650374304459677,100,4,8,15,0.1501360559945101,0.9141735256667864
dogecoin,2019-12-01,True,False,absolute,100,False,False,475.3543312659028,5.358405124640984,0.6530445325006143,100,4,8,16,0.1494443419338169,0.891006781545235
dogecoin,2020-01-01,True,False,absolute,100,False,False,498.2750930437496,5.330439514431981,0.6566651454568952,100,4,8,15,0.1584838064269858,0.9103910654142414
dogecoin,2020-02-01,True,False,absolute,100,False,False,510.4463417025752,5.312704762751835,0.6580087441236226,100,4,8,15,0.1626782168906576,0.9226838585392646
dogecoin,2020-03-01,True,False,absolute,100,False,False,502.4219511360506,5.326372365796926,0.653293613797117,100,4,8,15,0.1591035669847487,0.9132101980235444
dogecoin,2020-04-01,True,False,absolute,100,False,False,576.0635872271426,5.268777480106829,0.6587484287321951,100,4,8,15,0.1882245600959656,0.9531319306543102
dogecoin,2020-05-01,True,False,absolute,100,False,False,604.5852252997748,5.253291036899212,0.6579106000334982,100,4,8,16,0.1979898510009338,0.9638663151005724
dogecoin,2020-06-01,True,False,absolute,100,False,False,630.0348435201881,5.226673875504722,0.6595806219238189,100,3,8,15,0.2048073902931724,0.9823159254756716
dogecoin,2020-07-01,True,False,absolute,100,False,False,652.1836283687859,5.174561090407969,0.6694501710835232,100,3,7,14,0.2084245579561685,1.0184377555366124
dogecoin,2020-08-01,True,False,absolute,100,False,False,768.9935982755279,5.010904094855166,0.6954986530465656,100,3,6,12,0.234479988937811,1.1318761405829487
dogecoin,2020-09-01,True,False,absolute,100,False,False,817.9554212174664,4.988065779274551,0.6940107756118735,100,3,6,13,0.2472675798312354,1.1477064546363858
dogecoin,2020-10-01,True,False,absolute,100,False,False,852.7741271749674,4.925989272651555,0.7003715554661625,100,3,6,11,0.2522047127084055,1.1907346101811327
dogecoin,2020-11-01,True,False,absolute,100,False,False,894.4432133390536,4.860215798461963,0.7109584337800983,100,3,5,11,0.2587637694283983,1.2363253083712782
dogecoin,2020-12-01,True,False,absolute,100,False,False,976.0669525195578,4.745233023139232,0.7268789975180092,100,2,5,10,0.2685907899752549,1.3160252948991866
dogecoin,2021-01-01,True,False,absolute,100,False,False,1052.209512203802,4.680729372179667,0.7372148717645376,100,2,5,10,0.2861199603551801,1.360735818697631
dogecoin,2021-02-01,True,False,absolute,100,False,False,1480.4854342358292,4.437281116732682,0.7410505259820344,100,1,3,9,0.3596178924980948,1.5294812905729445
dogecoin,2021-03-01,True,False,absolute,100,False,False,2130.1207625539923,4.130962534517448,0.7497643559316035,100,1,2,8,0.4506859093472493,1.7418051521885567
dogecoin,2021-04-01,True,False,absolute,100,False,False,2504.7236462820697,3.9676517206965127,0.7470106677548513,100,1,2,8,0.4926598742669681,1.855003582343488
dogecoin,2021-05-01,True,False,absolute,100,False,False,2744.0927913773503,3.787666554957946,0.7670274390800299,100,1,1,6,0.5163086721257655,1.9797597925177883
dogecoin,2021-06-01,True,False,absolute,100,False,False,2710.2233492997257,3.7604808516554176,0.7844500492731491,100,1,1,6,0.5125490611313802,1.9986034861134752
dogecoin,2021-07-01,True,False,absolute,100,False,False,2763.9990069397104,3.728788205883932,0.7813889023986184,100,1,1,5,0.517497612885474,2.0205711541744673
dogecoin,2021-08-01,True,False,absolute,100,False,False,2822.2186081704203,3.6794936199820514,0.7868770744453261,100,1,1,5,0.522986794472254,2.054739557409226
dogecoin,2021-09-01,True,False,absolute,100,False,False,2595.2049287885666,3.807059535131439,0.7755006860808269,100,1,2,6,0.4995109396210661,1.9663176029878784
dogecoin,2021-10-01,True,False,absolute,100,False,False,2606.829613138319,3.784174991212168,0.7807746101927918,100,1,1,5,0.5001719283567507,1.9821799600839212
dogecoin,2021-11-01,True,False,absolute,100,False,False,2403.617047188868,3.988858712703802,0.7481438245226116,100,1,2,7,0.4807059481081763,1.8403040156254784
dogecoin,2021-12-01,True,False,absolute,100,False,False,2476.1479379144,3.88664813205881,0.7638792893953941,100,1,2,6,0.4866942792840767,1.9111509914229472
dogecoin,2022-01-01,True,False,absolute,100,False,False,2574.7992541430463,3.8304887777894887,0.767809737544657,100,1,2,5,0.4968662695067852,1.9500776894967955
dogecoin,2022-02-01,True,False,absolute,100,False,False,2492.9470752886614,3.792086954467867,0.7867647804827336,100,1,2,5,0.4864157937136427,1.9766958050605403
dogecoin,2022-03-01,True,False,absolute,100,False,False,2442.650459791872,3.8000258354014167,0.7856925150228018,100,1,2,4,0.4799359679681582,1.9711929921246487
dogecoin,2022-04-01,True,False,absolute,100,False,False,2236.5853686252995,3.745190776331589,0.8030124293401291,100,1,2,4,0.4436803043899678,2.0092017587147413
dogecoin,2022-05-01,True,False,absolute,100,False,False,2148.8491745604815,3.784330003158587,0.7997755369487279,100,1,2,4,0.4301694294129322,1.9820725139903113
dogecoin,2022-06-01,True,False,absolute,100,False,False,2231.539381905941,3.7640623068603904,0.8004803298557935,100,1,2,4,0.4442468986802235,1.9961210105358536
dogecoin,2022-07-01,True,False,absolute,100,False,False,2204.3974504386124,3.761235396267232,0.803188544535075,100,1,2,4,0.4403928686653988,1.9980804756431896
dogecoin,2022-08-01,True,False,absolute,100,False,False,2260.800120691526,3.721407802431435,0.8054268101987684,100,1,2,4,0.4467592308307146,2.0256868600189635
dogecoin,2022-09-01,True,False,absolute,100,False,False,2096.6052584596596,3.8527118544296215,0.7971842243985673,100,1,2,4,0.4288686191523714,1.9346738265803192
dogecoin,2022-10-01,True,False,absolute,100,False,False,2098.8447219130503,3.847788466549101,0.7961975666133495,100,1,2,4,0.4285173755612009,1.9380864590085052
dogecoin,2022-11-01,True,False,absolute,100,False,False,1978.1796952371883,3.922675024340946,0.786830940706331,100,1,2,4,0.4097183376196006,1.8861790526132511
dogecoin,2022-12-01,True,False,absolute,100,False,False,1939.8978589966464,3.9136841190031126,0.7941531561843854,100,1,2,4,0.4038952162039863,1.892411073298852
dogecoin,2023-01-01,True,False,absolute,100,False,False,1953.9997405541328,3.9237786979518767,0.7939084258727915,100,1,2,4,0.4094159129715426,1.8854140443615748
dogecoin,2023-02-01,True,False,absolute,100,False,False,1897.797414015712,3.9568261632191226,0.7898935752822323,100,1,2,4,0.3994175021492346,1.8625072869869317
dogecoin,2023-03-01,True,False,absolute,100,False,False,1898.4360970456223,3.961738168561016,0.7890818317107379,100,1,2,4,0.4000719883891572,1.8591025443333016
