ledger,date,clustering,exclude_contract_addresses,top_limit_type,top_limit_value,exclude_below_fees,exclude_below_usd_cent,hhi,shannon_entropy,gini,total_entities,tau=0.33,tau=0.5,tau=0.66,mpr,theil
bitcoin,2014-02-01,True,False,percentage,0.5,False,False,8.562363920019315,14.141354048991758,0.9654418388889708,1294390,379,2098,10084,0.0117021824615471,4.271510411342613
bitcoin,2014-03-01,True,False,percentage,0.5,False,False,8.537719995013315,14.198060955879305,0.9643126865733012,1322106,386,2179,10678,0.0115872940077166,4.253390556719653
bitcoin,2014-04-01,True,False,percentage,0.5,False,False,7.42058043020634,14.397715308062388,0.9637885308672112,1395458,513,2572,12502,0.0114696269155436,4.168997462496254
bitcoin,2014-05-01,True,False,percentage,0.5,False,False,7.290620924415741,14.424260572685384,0.963871787827978,1441458,517,2570,12756,0.0113565995325263,4.1830301117141335
bitcoin,2014-06-01,True,False,percentage,0.5,False,False,8.902899727509894,14.401062311882038,0.9640733604709126,1484880,504,2575,13057,0.0140619433346274,4.228788780365538
bitcoin,2014-07-01,True,False,percentage,0.5,False,False,8.253515214218464,14.438782619643902,0.9646212066633748,1536851,515,2623,13287,0.0119175581669344,4.2370446121396
bitcoin,2014-08-01,True,False,percentage,0.5,False,False,8.10778540996956,14.455837818784874,0.9657719154905766,1610867,518,2651,13383,0.0115804771189459,4.272259874660349
bitcoin,2014-09-01,True,False,percentage,0.5,False,False,8.748338895586217,14.429283365054864,0.9670641209385398,1684817,509,2660,13209,0.0112410532969393,4.335550428513027
bitcoin,2014-10-01,True,False,percentage,0.5,False,False,8.830323875524629,14.429095806372924,0.9679563353535824,1752571,505,2643,13135,0.0111411338179458,4.375107334394981
bitcoin,2014-11-01,True,False,percentage,0.5,False,False,8.550758374948888,14.455393129157622,0.9684660270720395,1847623,498,2675,13543,0.0107353135215765,4.4096955146801955
bitcoin,2014-12-01,True,False,percentage,0.5,False,False,9.612748262566049,14.426697666042436,0.9690816243486208,1910725,493,2652,13452,0.0128500459311705,4.463168497120012
bitcoin,2015-01-01,True,False,percentage,0.5,False,False,8.97989128124269,14.421509800312515,0.9697395724023844,1983646,471,2599,13511,0.0098159987492496,4.504218265934692
bitcoin,2015-02-01,True,False,percentage,0.5,False,False,9.586002331409064,14.441918847988436,0.970663511544063,2093984,478,2664,13663,0.0130650424569382,4.544203698138642
bitcoin,2015-03-01,True,False,percentage,0.5,False,False,9.324129215463843,14.468741184461724,0.9715987834158576,2204773,485,2714,13913,0.0124907074138428,4.577167955540148
bitcoin,2015-04-01,True,False,percentage,0.5,False,False,8.860426645165973,14.554831872304662,0.9716455414212486,2270895,556,2933,14368,0.0119837245790323,4.54704390905588
bitcoin,2015-05-01,True,False,percentage,0.5,False,False,9.006496615358591,14.555953908159106,0.9720754476160162,2374089,534,2922,14585,0.0118934085793889,4.590705931042377
bitcoin,2015-06-01,True,False,percentage,0.5,False,False,9.069555922330087,14.569600060080402,0.9728529732197354,2495762,539,2971,14777,0.011800062114872,4.631227447778611
bitcoin,2015-07-01,True,False,percentage,0.5,False,False,10.073958848919046,14.562680698210622,0.97355820085585,2583271,543,2989,14748,0.0150050175093121,4.670485915853874
bitcoin,2015-08-01,True,False,percentage,0.5,False,False,10.258271314611669,14.55874159610018,0.9745814566146586,2706327,539,2996,14667,0.0148860168973108,4.719752233171581
