year,gini,nakamoto,shannon_entropy,hhi
2011,0.33,2,2.06,2734.38
2012,0.39,3,3.06,1562.5
2013,0.52,2,2.26,3010.2
2014,0.24,5,3.28,1133.33
2015,0.38,10,4.77,446.29
2016,0.26,4,3.51,1003.09
2017,0.37,10,4.74,458.67
2018,0.28,2,2.12,2600.0
2019,0.23,6,3.95,700.0
2020,0.4,5,3.6,989.97
2021,0.54,2,2.02,3343.2
2022,0.23,5,3.45,989.58
2023,0.0,5,3.0,1250.0
2024,0.42,3,2.81,2016.46
2025,0.0,2,1.58,3333.33
