ledger,date,clustering,entropy=1,hhi,nakamoto_coefficient,max_power_ratio
litecoin,2025-03-05,False,3.973805538524665,1058.0766577388215,4,0.2072072072072072
litecoin,2025-03-13,False,3.966537762828526,1046.5810057353378,4,0.20572057205720573
litecoin,2025-03-23,False,3.991650417661026,1043.2199996186189,4,0.20414847161572053
litecoin,2025-03-28,False,3.954338190876661,1058.3649946744306,4,0.2040133779264214
litecoin,2025-04-02,False,3.9657347231614843,1065.3073267015454,4,0.20885357548240635
litecoin,2025-04-06,False,3.991857477798794,1043.9952437574314,4,0.20344827586206896
litecoin,2025-04-14,False,3.9816581851124773,1051.6013827522272,4,0.20933014354066987
litecoin,2025-04-21,False,3.9623833807796354,1048.5487202829029,4,0.20591715976331362
litecoin,2025-04-28,False,3.9893872426705954,1042.0368367168148,4,0.20818291215403129
litecoin,2025-06-01,False,3.962596971989184,1055.2301541864235,4,0.20689655172413793
litecoin,2025-06-07,False,3.985076974103288,1039.2345974306545,4,0.2
litecoin,2025-06-14,False,3.9567130327209017,1053.2468912743118,4,0.20876288659793815
litecoin,2025-07-23,False,3.924219847546459,1076.6019034252884,4,0.20397350993377483
litecoin,2025-07-26,False,3.9519802643206914,1062.9721286867607,4,0.20382165605095542
