ledger,date,clustering,entropy=1,hhi,nakamoto_coefficient,max_power_ratio
zcash,2025-03-05,False,3.0164308678290457,1953.8120697719892,2,0.30129005409904286
zcash,2025-03-13,False,3.004787440093657,1945.270420638921,2,0.2964196502914238
zcash,2025-03-23,False,2.9864478828897325,1961.0635482943346,2,0.3038187159043223
zcash,2025-03-28,False,2.987726418766768,1959.9206066583633,2,0.30364715860899066
zcash,2025-04-02,False,2.990384617069783,1958.6040987280214,2,0.3053435114503817
zcash,2025-04-06,False,3.0100859110586655,1942.1385254489562,2,0.30497660569970225
zcash,2025-04-14,False,3.0342750259149085,1911.234225915664,2,0.3017543859649123
zcash,2025-04-21,False,3.0098759510854824,1952.498237919962,2,0.3101769911504425
zcash,2025-04-28,False,2.9922159795634857,1964.0215463286638,2,0.3117752007136485
zcash,2025-06-01,False,3.065404447061212,1950.967592798163,2,0.3240434577231932
zcash,2025-06-07,False,3.0585402089390925,1947.32953017034,2,0.3211095439586272
zcash,2025-06-14,False,3.0440716886952712,1958.2085008594433,2,0.3208092485549133
zcash,2025-07-23,False,2.9790756248268133,2031.6255866657252,2,0.3514394350896252
zcash,2025-07-26,False,2.9504172282888015,2115.0119341910145,2,0.3654434250764526
