ledger,date,clustering,entropy=1,hhi,nakamoto_coefficient,max_power_ratio
dogecoin,2025-03-05,False,3.666893738143472,1430.9122384676032,3,0.2897822445561139
dogecoin,2025-03-13,False,3.7238419517333847,1414.2541133607078,3,0.28618968386023297
dogecoin,2025-03-23,False,3.705145635320369,1416.5394048775952,3,0.2891156462585034
dogecoin,2025-03-28,False,3.6147010719008352,1467.0526156390874,3,0.295221843003413
dogecoin,2025-04-02,False,3.6432711462021192,1436.0274194958101,3,0.2826855123674912
dogecoin,2025-04-06,False,3.706176671034513,1464.8212846009123,3,0.29180327868852457
dogecoin,2025-04-14,False,3.656191029196818,1437.8377696241582,3,0.28596802841918295
dogecoin,2025-04-21,False,3.6617134359694847,1415.6658518439795,3,0.2800687285223368
dogecoin,2025-04-28,False,3.660828891351345,1434.3841307523746,3,0.28040540540540543
dogecoin,2025-06-01,False,3.7466333905169225,1343.005905929653,3,0.2703180212014134
dogecoin,2025-06-07,False,3.711868904305047,1355.1668143385555,3,0.26497277676951
dogecoin,2025-06-14,False,3.832186851211744,1245.417505212433,3,0.25045372050816694
dogecoin,2025-07-23,False,3.727752367050328,1328.5044007132617,3,0.2684310018903592
dogecoin,2025-07-26,False,3.7853619292668492,1267.221715688284,3,0.26287744227353466
