ledger,date,clustering,entropy=1,hhi,nakamoto_coefficient,max_power_ratio
cardano,2026-01-08,False,3.757760091812617,1507.2440202880598,3,0.3221884498480243
cardano,2026-01-22,False,3.7561840038806444,1509.23829315022,3,0.3223744292237443
cardano,2026-01-29,False,3.8143150760650775,1445.052101759015,3,0.3127208480565371
cardano,2026-02-09,False,3.8123427876492766,1447.695384761553,3,0.3129432624113475
cardano,2026-02-26,False,3.8159920052937797,1436.4626733146642,3,0.3102125147579693
cardano,2026-03-25,False,3.855203575060765,1259.62806315614,3,0.2626313156578289
cardano,2026-04-01,False,3.849328564550046,1264.544636919788,3,0.2635406218655968
cardano,2026-04-08,False,3.849162087067187,1266.975831652229,3,0.2644025157232704
cardano,2026-04-15,False,3.851206856790787,1263.616797236135,3,0.2639274010587346
cardano,2026-04-22,False,3.85027215840735,1264.479103325402,3,0.2637944066515495
cardano,2026-04-29,False,3.851090186139448,1262.50052239096,3,0.2631578947368421
cardano,2026-05-06,False,3.848136192086199,1265.640257779145,3,0.2636226034308779
cardano,2026-05-14,False,3.847494385976765,1265.628473608134,3,0.2635561160151324
cardano,2026-05-21,False,3.845309240432031,1270.652167684459,3,0.2646536412078153
cardano,2026-05-28,False,3.844958132610993,1270.129039823554,3,0.2643852978453739
