ledger,date,clustering,entropy=1,hhi,nakamoto_coefficient,max_power_ratio
execution,2026-03-18,False,3.658315706705551,1453.949700132968,3,0.296565025716385
execution,2026-03-25,False,3.683553468879697,1465.659107511804,3,0.3059915773353752
execution,2026-04-01,False,3.694491458400151,1448.890529523501,3,0.3028974456728936
execution,2026-04-03,False,3.708644995259518,1440.193819569102,3,0.3056706857573474
execution,2026-04-14,False,3.710973266319218,1430.376148144408,3,0.3035613340870548
execution,2026-04-21,False,3.72798081588173,1395.247081524604,3,0.2916998407643312
execution,2026-04-28,False,3.738579998603824,1382.444511404158,3,0.2895455925513612
execution,2026-05-02,False,3.831801171885532,1186.509942614217,3,0.2458464988278463
execution,2026-05-06,False,3.737961614840768,1390.446568959384,3,0.2911133810010215
execution,2026-05-13,False,3.817792093238704,1312.028748818049,3,0.280798555377207
execution,2026-05-20,False,3.826736421893739,1303.101555031789,3,0.2827745432644048
execution,2026-05-27,False,3.836020894075723,1291.328755354946,3,0.2797316527749543
execution,2026-06-03,False,3.831189701946027,1300.970269377419,3,0.2705832359502816
execution,2026-06-10,False,3.848975041110986,1286.58674180783,3,0.2690723883831816
execution,2026-06-17,False,3.838592189057474,1300.794921698056,3,0.2735674676524954
execution,2026-06-24,False,3.863178353779936,1286.949495023952,3,0.2717463113851575
execution,2026-07-02,False,3.862215770021003,1284.16590029309,3,0.2706483126110124
execution,2026-07-09,False,3.831547059523505,1310.608519246327,3,0.2746125543538856
