ledger,date,no_clustering,entropy,entropy_percentage,gini,hhi,nakamoto_coefficient,theil_index,max_power_ratio,tau_index
bitcoin_cash,May-2020,True,3.745714314694427,0.3082795523883647,0.9969446357020116,1370.4025819944084,3,5.825671687998976,0.3004484304932735,5
bitcoin_cash,Jun-2020,True,3.51985652630368,0.2896910183842155,0.9975646034307326,1468.8549939071197,3,5.982224377229587,0.297059504514934,5
bitcoin_cash,Jul-2020,True,3.656642409227515,0.3009487618259354,0.997639359645394,1177.6462097585631,3,5.887411628140498,0.2115341293084028,5
bitcoin_cash,Aug-2020,True,3.630647363821617,0.2988093191752752,0.9977229360357714,1158.9342678968717,4,5.905430020572147,0.2031774446184829,5
bitcoin_cash,Sep-2020,True,3.6261263873884344,0.2984372340470228,0.9979370401391926,1208.785542899881,3,5.908563722640167,0.2196987253765932,5
bitcoin_cash,Oct-2020,True,3.740581250603781,0.3078570912588446,0.9977903920795144,1058.9875218743227,4,5.829229656901088,0.2014959202175884,6
bitcoin_cash,Nov-2020,True,3.3821837857249437,0.278360284837561,0.9981617135393002,1378.09886407355,3,6.077651849201671,0.2280382339553937,4
bitcoin_cash,Dec-2020,True,3.40897515874832,0.2805652667955056,0.9980903006089604,1447.0518041691407,3,6.059081484527177,0.2608896058999769,4
bitcoin_cash,Jan-2021,True,3.688632488486951,0.3035816073892713,0.9978164478453294,1140.7098888044136,4,5.865237794895953,0.2176039119804401,5
bitcoin_cash,Feb-2021,True,3.547500650065172,0.2919661833816979,0.9979953973904562,1259.087324014615,3,5.963062930785255,0.2050188205771643,5
bitcoin_cash,Mar-2021,True,3.5452422217706077,0.2917803103531494,0.9978795856743012,1173.2217850033342,4,5.96462835399012,0.175553547220967,5
bitcoin_cash,Apr-2021,True,3.2613518829969026,0.2684155849064682,0.998186094114897,1411.975119464276,3,6.161406141899293,0.2148002619515389,4
bitcoin_cash,May-2021,True,3.0642442639143357,0.2521932455933145,0.9984482652665736,1674.8993897472697,3,6.2980307323332925,0.2958027981345769,4
