ledger,date,no_clustering,entropy,entropy_percentage,gini,hhi,nakamoto_coefficient,theil_index,max_power_ratio,tau_index
bitcoin,Jan-2018,False,2.9305741453328076,0.3747451508996816,0.9731685967630402,2167.534763496689,2,3.38921579301298,0.4102868447082097,4
bitcoin,Feb-2018,False,2.923515148498278,0.3738424865401502,0.9732801698207604,2180.102630106692,2,3.394108716766413,0.413366903181506,4
bitcoin,Mar-2018,False,3.0281902532561285,0.3872277434838765,0.9714010056747432,2041.8920555954865,2,3.3215534630286947,0.3989258861439312,4
bitcoin,Apr-2018,False,3.012228669716984,0.3851866669796356,0.9713742729349432,2097.807746058036,2,3.332617189656124,0.4067245119305857,4
bitcoin,May-2018,False,3.0563534837939934,0.3908290971962686,0.9703660831374372,2078.4640456943794,2,3.3020321991859114,0.407250370998516,4
bitcoin,Jun-2018,False,2.9525537048152746,0.3775557719338169,0.972597152751058,2161.029300567107,2,3.3739807233277577,0.4128260869565217,4
bitcoin,Jul-2018,False,3.293695458154383,0.4211790387386662,0.9652341532729648,1690.0192705077836,3,3.137519278829479,0.3430908308222126,4
bitcoin,Aug-2018,False,3.4502419384578578,0.4411973121126973,0.9619218445698576,1501.667034479327,3,3.029009527380543,0.3141786383510306,4
bitcoin,Sep-2018,False,3.464840323881986,0.4430640705966514,0.9617390311747142,1463.2769550687867,3,3.018890697683078,0.3041412084181941,5
bitcoin,Oct-2018,False,3.4871224629609165,0.4459133837883343,0.9611914871258036,1448.0073964672158,3,3.0034458958036723,0.3078328385476136,5
bitcoin,Nov-2018,False,3.54888324446933,0.4538110011964836,0.9595069858910156,1398.9236757940555,3,2.9606365842319367,0.3015503875968992,5
bitcoin,Dec-2018,False,3.5166633616959766,0.449690905872808,0.9610164348925412,1372.7070040816327,3,2.9829697051342614,0.2980571428571428,5
bitcoin,Jan-2019,False,3.575059502172842,0.4571582721258727,0.9595785459345816,1222.6298342541436,4,2.942492585007138,0.2625414364640884,6
bitcoin,Feb-2019,False,3.427551966257837,0.4382958475414808,0.963598820058997,1433.4137006427925,3,3.0447370176379684,0.2996363636363636,5
bitcoin,Mar-2019,False,3.5268458606055986,0.4509929859094108,0.9609238549061558,1335.7208066658616,3,2.9759117347240025,0.2863736263736264,5
bitcoin,Apr-2019,False,3.5130680113299526,0.4492311529204391,0.9612500357001512,1368.3370244322489,3,2.9854618121035954,0.293453204241586,5
bitcoin,May-2019,False,3.453182851563173,0.4415733793509855,0.9626794608161988,1451.181834974505,3,3.0269710417533218,0.309891972039822,5
bitcoin,Jun-2019,False,3.3024589176091848,0.422299660082106,0.965981392233774,1585.8164399522636,3,3.1314449116164305,0.3283912369993361,5
bitcoin,Jul-2019,False,2.8787602978697984,0.3681194908333285,0.9732824993970428,2398.7500494442465,2,3.4251304152959277,0.4494758909853249,4
bitcoin,Aug-2019,False,2.845947489397692,0.3639235755442016,0.9728570671551966,2537.522108416676,2,3.447874520974621,0.4659965782720274,3
bitcoin,Sep-2019,False,2.908621658889146,0.3719379918117416,0.9727954864392704,2374.1226003079146,2,3.4044320970976822,0.4470334412081985,4
bitcoin,Oct-2019,False,2.8809677280244217,0.3684017644443587,0.9735941253335212,2374.5437439071393,2,3.4236003413079663,0.4414235190097259,3
bitcoin,Nov-2019,False,2.9036277672523463,0.3712994013573797,0.9727989695663593,2296.684874118313,2,3.407893599005752,0.4267545925577014,3
bitcoin,Dec-2019,False,2.8440483981090625,0.3636807305533444,0.9736503127048732,2381.115773846875,2,3.449190870746961,0.437540734303715,3
bitcoin,Jan-2020,False,2.718738069697043,0.3476567585938436,0.97626386888382,2553.283947368996,2,3.536049371580794,0.4595735697698965,3
