ledger,date,clustering,entropy=1,entropy_percentage=1,gini,hhi,nakamoto_coefficient,theil_index,concentration_ratio=1,concentration_ratio=3,tau_index=0.33,tau_index=0.66,total_entities
tezos,2018-07-14,False,3.378960331496952,0.5271889895880044,0.9697647199935607,1084.0925930944366,5,3.364993437747866,0.12003607847067371,0.35820409390424174,3,6,85
tezos,2018-08-13,False,4.868603748338709,0.5941120444240356,0.9305819057057907,553.7494315285306,7,2.5602352341950487,0.10864717542120912,0.24561446977205154,5,10,293
tezos,2018-09-12,False,5.4088756316771756,0.6465057755565691,0.9114813460164728,419.96700105783674,9,2.3005865611355136,0.09521300797432888,0.21988074427069615,6,12,330
tezos,2018-10-12,False,5.619810611522463,0.6652959916489589,0.9041875767850078,366.7129364902688,10,2.2027184015085903,0.08559986651092942,0.20318943529355676,6,15,349
tezos,2018-11-11,False,5.793971032261197,0.6772939217441151,0.8953687468951321,330.4568791237741,10,2.1042227336931307,0.07834697584156446,0.19214788644788894,6,17,376
tezos,2018-12-11,False,5.796562805180371,0.6868948667586076,0.8998157882046584,328.4613708519785,10,2.1263144687762305,0.08504369538077403,0.19360799001248438,6,18,347
tezos,2019-01-10,False,5.940205759844601,0.6962771254967529,0.8816299972513711,303.5949780772685,11,1.9624963207133395,0.0830736034524095,0.18731719012227283,7,21,370
tezos,2019-02-09,False,6.02493427422318,0.704609132447038,0.8797045943869428,282.85934480546126,12,1.935301134265905,0.0789795185052102,0.17788956761288777,7,22,375
tezos,2019-03-11,False,6.068171751671152,0.7074581291583574,0.8762818723802386,274.98815302781856,12,1.9031114419400146,0.07937229385450804,0.17359998086261752,7,23,382
tezos,2019-04-10,False,6.095545267119601,0.7106494719251988,0.8767778732075585,258.6456214273582,13,1.8907821096035575,0.07250994107219853,0.16255449623916063,8,24,382
tezos,2019-05-10,False,6.122738046783112,0.7135059935179456,0.8733639497988034,255.50896142842723,13,1.8675087250678686,0.07189495758268992,0.1550614812696597,8,24,383
tezos,2019-06-09,False,6.150838680080325,0.7199831171759037,0.8733484829636367,244.66871116777435,13,1.8502456906554874,0.06682016480853127,0.14592825981580224,8,25,373
tezos,2019-07-09,False,6.206085102418074,0.7274419894527224,0.868917559740575,225.24725540444854,14,1.803062841358828,0.04280165088613741,0.12478756979849479,9,26,370
tezos,2019-08-08,False,6.253240681006066,0.7274433043472978,0.8636025918390354,221.48035599291302,15,1.7636581347641016,0.05105112279025323,0.12952699474438606,9,27,387
tezos,2019-09-07,False,6.258085093724452,0.7302439363903429,0.8653643935433901,223.12862558417027,15,1.7803231596220168,0.051588624779688466,0.13271090363454485,9,27,380
tezos,2019-10-07,False,6.291331715632897,0.7287542239934247,0.8606641517282188,221.7547688722425,15,1.7506484988443658,0.05515723716902109,0.13719504980951705,9,27,397
tezos,2019-11-06,False,6.194220417297866,0.7294309436388071,0.8724779145964928,234.35999634334706,14,1.835543792043678,0.05642969532255757,0.14311257330853955,8,26,360
tezos,2019-12-06,False,6.24939870211288,0.731520007603828,0.859283606021644,227.5794534075672,15,1.7412914435358897,0.055453733728088726,0.14053761924902486,9,26,373
tezos,2020-01-05,False,6.262136631380479,0.73468541246778,0.857058322013341,224.5456788142395,15,1.718540845259287,0.05379561873144273,0.14263671007411216,9,27,368
tezos,2020-02-04,False,6.24412952998137,0.730903227490822,0.8556997569748345,230.0363081929466,14,1.7145320549246965,0.06376378944422417,0.14578911770879494,9,26,373
tezos,2020-03-05,False,6.1130289056667895,0.718520975668969,0.8644114262201422,263.16407198053855,13,1.8006421692777645,0.08030062353303777,0.17060622584698545,8,23,364
tezos,2020-04-04,False,6.037774483052463,0.7130438997590413,0.8697367777844025,287.89110077271664,13,1.8504150727401751,0.09693030650176514,0.18478946999275245,8,22,354
tezos,2020-05-04,False,5.9486194920662205,0.7035351012532356,0.8716840738825831,315.47690135857096,12,1.8830843304521,0.10823245114668774,0.19922392360062272,7,21,351
tezos,2020-06-03,False,5.932716073504181,0.6989665273924803,0.8725231454252166,324.080553146392,12,1.899021754992072,0.11121703948286285,0.20452960052085756,7,20,359
tezos,2020-07-03,False,5.969484449669438,0.7053189884490446,0.8737433571728455,304.77937128727217,12,1.88571627727621,0.10189556925223864,0.19890684963367833,7,21,353
tezos,2020-08-02,False,5.936331968337541,0.6980778006554786,0.8759824580176185,317.9294746513393,12,1.9159334935402117,0.10681442506926175,0.21162666169999766,7,21,363
tezos,2020-09-01,False,5.864948204338184,0.6896834889422918,0.8801352402382357,334.6261485512333,12,1.9581752809939017,0.10797770178479411,0.2264018363236052,7,20,363
tezos,2020-10-01,False,5.809494781690025,0.6850996842847015,0.8831710682232875,350.94570174564706,11,1.9819782570364473,0.11723703841850056,0.2324692279000373,6,19,357
tezos,2020-10-31,False,5.763713123347552,0.6857365992739414,0.8869223908534009,364.89963049348404,11,2.0161656733994557,0.1225749146837455,0.24047496610724137,6,18,339
tezos,2020-11-30,False,5.779123921383143,0.6861884919948597,0.8817683376991652,365.2490475888619,11,1.9806685530711639,0.11893118697208638,0.24703432462154004,6,18,343
tezos,2020-12-30,False,5.8374554287098706,0.6927690499461698,0.8738356167698287,361.62340524753586,11,1.9250460677358847,0.12195873843964904,0.23718283139672752,6,19,344
tezos,2021-01-29,False,5.859368529094945,0.6988997136212052,0.8711572234324567,364.5839879108313,11,1.9021745678146276,0.12605365830162324,0.23503203121236935,6,20,334
tezos,2021-02-28,False,5.793961397432587,0.6943619283606868,0.877344991122325,356.6400453872728,11,1.9345745456841443,0.11076067657228296,0.24691617605831231,6,18,325
tezos,2021-03-30,False,5.7320973503065415,0.6873142020928336,0.8797464730801133,371.475243236316,11,1.9643490880223395,0.11244248242356293,0.2533809824118842,6,17,324
tezos,2021-04-29,False,5.623542344731009,0.6746585469226645,0.8931549710237732,393.50619399524584,10,2.0885094842746916,0.11310921213259462,0.2615973330829186,5,16,323
tezos,2021-05-29,False,5.824108419307006,0.6979748181967028,0.8758282225754346,372.912249507889,11,1.9393865791798373,0.11780086212988482,0.2661767130709255,5,19,325
tezos,2021-06-28,False,5.933953503217404,0.7088967984148862,0.8633901336919309,355.81575432554104,13,1.8270681123914947,0.1278941565600882,0.25504529984181007,5,24,331
tezos,2021-07-28,False,5.915519518239284,0.7085533759104751,0.8633006338304888,359.8613305613888,13,1.826600350355558,0.12808159499769362,0.26000717543949564,5,24,326
tezos,2021-08-27,False,5.731152604996501,0.6846692901631766,0.8810202159874686,411.9710472999853,11,1.9961752904732362,0.1236993819359083,0.2850712418413809,4,21,331
tezos,2021-09-26,False,5.803404134276051,0.6860276666212857,0.8744886403964408,398.9316022263956,12,1.9332241561414767,0.13374125874125875,0.280235175783121,4,23,352
tezos,2021-10-26,False,5.803170151357353,0.6887001916381769,0.8730260324940697,395.76727350734075,12,1.9203483464037256,0.1303031386713395,0.28114532298632716,5,22,344
tezos,2021-11-25,False,5.709937403666443,0.678653424163087,0.8784030928488004,421.4572442824447,11,1.9717621308647368,0.13879531060503975,0.2856022834462398,4,21,341
tezos,2021-12-25,False,5.671838865784032,0.6751482280876695,0.883711040967825,419.3943496145079,10,2.008752134311906,0.1317610745376064,0.28318744122115314,4,20,338
