ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio
dogecoin,2025-03-05,False,680.8750620775523,7,0.22110552763819097
dogecoin,2025-03-13,False,665.6404605745785,7,0.21797004991680533
dogecoin,2025-03-23,False,664.4800777453842,8,0.21598639455782312
dogecoin,2025-03-28,False,696.5136460529556,7,0.2235494880546075
dogecoin,2025-04-02,False,722.5087090611704,6,0.22614840989399293
dogecoin,2025-04-06,False,667.8849771566828,8,0.22131147540983606
dogecoin,2025-04-14,False,732.0274222400366,7,0.22735346358792186
dogecoin,2025-04-21,False,712.7336710714317,7,0.22508591065292097
dogecoin,2025-04-28,False,724.5822680788925,7,0.22972972972972974
dogecoin,2025-06-01,False,645.5942763675423,7,0.20848056537102475
dogecoin,2025-06-07,False,678.4233253513667,7,0.2177858439201452
dogecoin,2025-06-14,False,663.5353638492638,7,0.21234119782214156
dogecoin,2025-07-23,False,677.4203922941933,7,0.21172022684310018
dogecoin,2025-07-26,False,650.5052544570678,8,0.20959147424511546
