ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio
bitcoin,2025-03-05,False,368.33697185564597,9,0.11294765840220386
bitcoin,2025-03-12,False,363.9432134156353,9,0.11231338172853034
bitcoin,2025-03-22,False,364.9112350581984,9,0.11287300644335786
bitcoin,2025-03-28,False,340.0534157283921,10,0.10849449633820112
bitcoin,2025-04-02,False,337.80687055912296,10,0.10856543220672467
bitcoin,2025-04-06,False,310.33167402073013,11,0.09110780799160619
bitcoin,2025-04-14,False,347.0678904972951,10,0.11042270849811056
bitcoin,2025-04-21,False,340.4851109903891,10,0.10901891772987242
bitcoin,2025-04-28,False,332.45496868244993,11,0.10884650635010693
bitcoin,2025-06-07,False,327.01081713900004,11,0.10685264850302004
bitcoin,2025-06-14,False,335.95852228268694,11,0.10854554250780665
bitcoin,2025-07-23,False,352.09580200376666,10,0.11032582122060719
bitcoin,2025-07-26,False,339.95596366059743,10,0.10320105940910544
