ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio,total_entities
bitcoin,2025-03-05,False,368.33697185564597,9,0.11294765840220386,1305
bitcoin,2025-03-12,False,363.9432134156353,9,0.11231338172853034,1299
bitcoin,2025-03-22,False,364.9112350581984,9,0.11287300644335786,1322
bitcoin,2025-03-28,False,340.0534157283921,10,0.10849449633820112,1312
bitcoin,2025-04-02,False,337.80687055912296,10,0.10856543220672467,1288
bitcoin,2025-04-06,False,310.33167402073013,11,0.09110780799160619,1300
bitcoin,2025-04-14,False,347.0678904972951,10,0.11042270849811056,1292
bitcoin,2025-04-21,False,340.4851109903891,10,0.10901891772987242,1282
bitcoin,2025-04-28,False,332.45496868244993,11,0.10884650635010693,1297
bitcoin,2025-06-07,False,327.01081713900004,11,0.10685264850302004,1349
bitcoin,2025-06-14,False,335.95852228268694,11,0.10854554250780665,1349
bitcoin,2025-07-23,False,352.09580200376666,10,0.11032582122060719,1289
bitcoin,2025-07-26,False,339.95596366059743,10,0.10320105940910544,1350
bitcoin,2025-08-02,False,315.0644337394918,11,0.0916506717850288,1310
bitcoin,2025-08-08,False,318.79721857779793,11,0.09593249675465167,1317
bitcoin,2025-08-15,False,323.88176231308927,11,0.09724929607970544,1321
bitcoin,2025-08-21,False,320.80384343326176,11,0.09544319062796107,1303
bitcoin,2025-08-28,False,315.0029389838532,11,0.09464508094645081,1307
bitcoin,2025-09-03,False,313.5116769918832,11,0.0946661500710319,1313
bitcoin,2025-09-10,False,297.49839792236577,12,0.08457465900933238,1333
bitcoin,2025-09-17,False,289.0990353975107,12,0.08557960145703879,1306
bitcoin,2025-09-24,False,310.9883086194509,11,0.09159584513692162,1304
bitcoin,2025-09-30,False,286.3633390333198,12,0.08195449844881075,1300
bitcoin,2025-10-07,False,262.5275865951639,14,0.08775356207554708,1259
bitcoin,2025-10-14,False,302.59272585061984,11,0.08933055283653232,1271
bitcoin,2025-10-21,False,385.9233097399459,9,0.12116828276509227,1236
bitcoin,2025-10-28,False,510.52555723083566,8,0.16744877209447834,1252
bitcoin,2025-11-04,False,483.8629790160054,8,0.16169263258556799,1245
bitcoin,2025-11-11,False,474.23361830788696,8,0.15989159891598917,1263
bitcoin,2025-11-18,False,442.1833990744121,9,0.1497542516636945,1272
bitcoin,2025-11-26,False,467.0710434603643,8,0.1577787751438247,1259
bitcoin,2025-12-03,False,460.84514434210877,8,0.15508085446196845,1254
bitcoin,2025-12-10,False,457.6907861599684,8,0.15531518681405762,1264
bitcoin,2025-12-17,False,433.931300781084,9,0.14977815085741697,1263
bitcoin,2025-12-24,False,440.702343612729,8,0.15141943222710916,1269
bitcoin,2026-01-01,False,445.54768903775494,8,0.15118059472963172,1253
bitcoin,2026-01-08,False,441.84252482249923,8,0.15067128799649415,1253
bitcoin,2026-02-25,False,399.31111853666414,9,0.13016100749242787,1277
bitcoin,2026-03-24,False,346.274400028435,9,0.1021673033445077,1304
bitcoin,2026-04-05,False,287.2525646598045,13,0.09132808304993735,1304
bitcoin,2026-04-17,False,290.9417516158584,12,0.09489927513674568,1285
bitcoin,2026-04-23,False,285.452666735576,13,0.09369067066978674,1242
bitcoin,2026-05-25,False,294.129888194109,12,0.09504075777585501,1227
bitcoin,2026-05-31,False,318.1805433788604,11,0.09839551517494684,1145
bitcoin,2026-06-14,False,329.698500534328,11,0.1022727272727273,1081
bitcoin,2026-06-27,False,338.6361374219041,10,0.1035508927670735,1067
bitcoin,2026-07-07,False,328.2802224691748,11,0.1005393517306383,1067
