ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio
cardano,2026-01-08,False,516.0613815467217,6,0.12188449848024316
cardano,2026-01-22,False,516.6818410328673,6,0.12207001522070016
cardano,2026-01-29,False,468.014056584276,7,0.11454652532391048
cardano,2026-02-09,False,468.2321619189738,7,0.11436170212765957
cardano,2026-02-26,False,466.6968214784099,7,0.11422668240850059
cardano,2026-03-25,False,563.7448539177062,6,0.1513256628314157
cardano,2026-04-01,False,564.8754186330382,6,0.1517051153460381
cardano,2026-04-08,False,565.8200229421416,6,0.1519496855345912
cardano,2026-04-15,False,567.2249804268046,6,0.1520040332745148
cardano,2026-04-22,False,569.0834884946233,6,0.1526832955404384
cardano,2026-04-29,False,568.7057152773706,6,0.1528582221102997
cardano,2026-05-06,False,569.4553198768692,6,0.1531281533804238
cardano,2026-05-14,False,568.8049118309679,6,0.1530895334174023
cardano,2026-05-21,False,569.7029150021333,6,0.1530068510530322
cardano,2026-05-28,False,570.7315897776971,6,0.153105196451204
cardano,2026-06-04,False,570.0036388319148,6,0.153141694225388
cardano,2026-06-11,False,570.6365925449358,6,0.1534931157572667
cardano,2026-06-18,False,566.5108407547808,6,0.1532586558044806
cardano,2026-06-25,False,565.9051021394226,6,0.1531600407747197
cardano,2026-07-02,False,565.4491921430701,6,0.1531600407747197
