ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio
bitcoin_cash,2025-03-05,False,945.1923076923118,4,0.22115384615384615
bitcoin_cash,2025-03-13,False,862.2148760330529,4,0.20909090909090908
bitcoin_cash,2025-03-23,False,868.1203047578446,4,0.2062043795620438
bitcoin_cash,2025-03-28,False,900.6734294334121,4,0.21256931608133087
bitcoin_cash,2025-04-02,False,907.7801428859425,4,0.2144177449168207
bitcoin_cash,2025-04-06,False,881.7962718372554,4,0.2140221402214022
bitcoin_cash,2025-04-14,False,899.8314621118743,4,0.2084130019120459
bitcoin_cash,2025-04-21,False,917.500643461674,4,0.2178988326848249
bitcoin_cash,2025-04-28,False,851.4047717480826,4,0.20702402957486138
bitcoin_cash,2025-06-01,False,828.2534413042919,4,0.19924098671726756
bitcoin_cash,2025-06-07,False,861.8108139979477,4,0.20793950850661624
bitcoin_cash,2025-06-14,False,824.4350129757743,4,0.1948529411764706
bitcoin_cash,2025-07-23,False,848.985404058384,4,0.2
bitcoin_cash,2025-07-26,False,817.672774877984,4,0.19705340699815838
bitcoin_cash,2025-08-02,False,855.9641520791052,4,0.19699812382739212
bitcoin_cash,2025-08-08,False,855.3948047415961,4,0.19460500963391136
bitcoin_cash,2025-08-15,False,872.8447899379893,4,0.21121495327102804
bitcoin_cash,2025-08-21,False,820.7855752595115,4,0.19852941176470587
bitcoin_cash,2025-08-28,False,812.576589056422,4,0.19343065693430658
bitcoin_cash,2025-09-03,False,794.4844843540243,4,0.1931407942238267
bitcoin_cash,2025-09-10,False,781.7187105462491,4,0.1908256880733945
bitcoin_cash,2025-09-17,False,807.4302439553765,4,0.19521178637200737
bitcoin_cash,2025-09-24,False,769.6626772590361,4,0.1846435100548446
bitcoin_cash,2025-09-30,False,845.4806803358589,4,0.19395017793594305
bitcoin_cash,2025-10-07,False,821.9607235760657,4,0.18386491557223264
bitcoin_cash,2025-10-14,False,828.079683010851,4,0.1863468634686347
bitcoin_cash,2025-10-21,False,807.7148489530599,4,0.1843065693430657
bitcoin_cash,2025-10-28,False,859.2489724922495,4,0.19850187265917604
bitcoin_cash,2025-11-04,False,896.1131976591869,4,0.2
bitcoin_cash,2025-11-11,False,874.7748506018,4,0.1981651376146789
bitcoin_cash,2025-11-18,False,877.7347504098548,4,0.19548872180451127
bitcoin_cash,2025-11-26,False,866.3337924701552,4,0.19318181818181818
bitcoin_cash,2025-12-03,False,829.5646896672708,4,0.18738049713193117
bitcoin_cash,2025-12-10,False,848.9352166432932,4,0.18631178707224336
bitcoin_cash,2025-12-17,False,805.5309666982037,4,0.18047882136279927
bitcoin_cash,2025-12-24,False,817.6086120722754,4,0.17450980392156862
bitcoin_cash,2026-01-01,False,792.8719008264454,4,0.17613636363636365
bitcoin_cash,2026-01-08,False,818.7896975700737,4,0.17748091603053434

