year,gini,nakamoto,shannon_entropy,hhi
2015,0.33,3,2.7,1900.0
2016,0.61,2,2.85,2207.03
2017,0.55,5,4.42,802.87
2018,0.42,41,7.02,104.79
2019,0.5,14,5.82,268.08
2020,0.51,23,6.37,196.58
2021,0.47,26,6.46,149.97
2022,0.49,48,7.42,122.26
2023,0.49,60,7.88,62.38
2024,0.53,50,7.57,86.21
2025,0.53,36,7.11,112.63
