chain,measure,date,gini,cr1,shannon_entropy,hhi
ethereum,attendance,2018-01-01,0.17,0.06,4.62,0.04
ethereum,attendance,2018-04-01,0.35,0.05,5.54,0.03
ethereum,attendance,2018-07-01,0.41,0.04,6.21,0.02
ethereum,attendance,2018-10-01,0.32,0.04,6.22,0.02
ethereum,attendance,2019-01-01,0.33,0.03,6.54,0.01
ethereum,attendance,2019-04-01,0.36,0.03,6.64,0.01
ethereum,attendance,2019-07-01,0.35,0.03,6.7,0.01
ethereum,attendance,2019-10-01,0.33,0.03,6.42,0.01
ethereum,attendance,2020-01-01,0.32,0.03,6.1,0.02
ethereum,attendance,2020-04-01,0.32,0.03,6.3,0.01
ethereum,attendance,2020-07-01,0.25,0.03,6.09,0.02
ethereum,attendance,2020-10-01,0.27,0.03,5.85,0.02
ethereum,attendance,2021-01-01,0.31,0.04,5.55,0.02
ethereum,attendance,2021-04-01,0.27,0.03,6.16,0.02
ethereum,attendance,2021-07-01,0.31,0.03,6.75,0.01
ethereum,attendance,2021-10-01,0.37,0.04,6.4,0.01
ethereum,attendance,2022-01-01,0.4,0.03,6.4,0.01
ethereum,attendance,2022-04-01,0.33,0.03,6.51,0.01
ethereum,attendance,2022-07-01,0.34,0.02,6.57,0.01
ethereum,attendance,2022-10-01,0.37,0.02,6.54,0.01
ethereum,attendance,2023-01-01,0.32,0.01,7.1,0.01
ethereum,attendance,2023-04-01,0.34,0.02,7.24,0.01
ethereum,attendance,2023-07-01,0.37,0.02,7.36,0.01
ethereum,attendance,2023-10-01,0.38,0.02,7.35,0.01
ethereum,attendance,2024-01-01,0.38,0.02,7.58,0.01
ethereum,attendance,2024-04-01,0.37,0.02,7.48,0.01
ethereum,attendance,2024-07-01,0.41,0.02,7.54,0.01
ethereum,attendance,2024-10-01,0.43,0.02,7.09,0.01
ethereum,attendance,2025-01-01,0.36,0.02,6.58,0.01
ethereum,attendance,2025-07-01,0.45,0.02,6.82,0.01
ethereum,attendance,2025-10-01,0.49,0.02,7.11,0.01
ethereum,speaking,2019-01-01,0.77,0.33,4.09,0.14
ethereum,speaking,2019-04-01,0.58,0.05,6.23,0.02
ethereum,speaking,2019-07-01,0.76,0.12,5.33,0.05
ethereum,speaking,2019-10-01,0.72,0.13,5.21,0.05
ethereum,speaking,2020-01-01,0.69,0.14,5.36,0.05
ethereum,speaking,2020-04-01,0.73,0.12,5.42,0.04
ethereum,speaking,2020-07-01,0.63,0.1,5.48,0.04
ethereum,speaking,2020-10-01,0.69,0.19,4.89,0.07
ethereum,speaking,2021-01-01,0.61,0.3,4.67,0.11
ethereum,speaking,2021-04-01,0.66,0.31,4.48,0.12
ethereum,speaking,2021-07-01,0.7,0.22,4.86,0.07
ethereum,speaking,2021-10-01,0.68,0.14,5.84,0.04
ethereum,speaking,2022-01-01,0.77,0.22,4.17,0.11
ethereum,speaking,2022-04-01,0.7,0.19,4.88,0.07
ethereum,speaking,2022-07-01,0.71,0.19,5.11,0.06
ethereum,speaking,2022-10-01,0.69,0.11,5.16,0.05
ethereum,speaking,2023-01-01,0.7,0.27,4.9,0.09
ethereum,speaking,2023-04-01,0.74,0.21,4.8,0.08
ethereum,speaking,2023-07-01,0.71,0.19,5.04,0.07
ethereum,speaking,2023-10-01,0.71,0.27,4.69,0.09
ethereum,speaking,2024-01-01,0.74,0.21,5.11,0.07
ethereum,speaking,2024-04-01,0.71,0.12,5.52,0.04
ethereum,speaking,2024-07-01,0.76,0.18,5.27,0.06
ethereum,speaking,2024-10-01,0.73,0.23,4.78,0.09
ethereum,speaking,2025-01-01,0.67,0.28,4.34,0.11
ethereum,speaking,2025-01-01,0.74,0.45,3.54,0.22
ethereum,speaking,2025-04-01,0.74,0.17,5.22,0.06
ethereum,speaking,2025-07-01,0.74,0.17,5.06,0.07
ethereum,speaking,2025-10-01,0.75,0.22,4.91,0.08
